X,Y,Z,U,V,W,MoveTime(ms)
-42.738,-20.985,250.204,0.155,-0.185,0.171,1
-42.341,-21.066,249.916,0.157,-0.194,0.164,1
-41.935,-21.131,249.669,0.159,-0.202,0.156,1
-41.521,-21.18,249.463,0.158,-0.209,0.149,1
-41.1,-21.22,249.278,0.154,-0.215,0.142,1
-40.674,-21.256,249.101,0.149,-0.221,0.137,1
-40.248,-21.287,248.94,0.144,-0.225,0.132,1
-39.829,-21.309,248.799,0.14,-0.227,0.124,1
-39.431,-21.319,248.681,0.135,-0.229,0.113,1
-39.06,-21.316,248.596,0.133,-0.23,0.1,1
-38.719,-21.306,248.558,0.129,-0.23,0.086,1
-38.409,-21.296,248.56,0.124,-0.226,0.072,1
-38.132,-21.279,248.583,0.12,-0.22,0.057,1
-37.887,-21.248,248.615,0.115,-0.212,0.045,1
-37.673,-21.207,248.646,0.112,-0.201,0.033,1
-37.492,-21.157,248.681,0.109,-0.189,0.021,1
-37.344,-21.093,248.733,0.106,-0.174,0.008,1
-37.23,-21.018,248.804,0.101,-0.158,-0.007,1
-37.151,-20.944,248.903,0.096,-0.143,-0.019,1
-37.106,-20.874,249.047,0.09,-0.128,-0.03,1
-37.096,-20.804,249.223,0.083,-0.115,-0.04,1
-37.114,-20.733,249.417,0.077,-0.101,-0.045,1
-37.149,-20.659,249.618,0.072,-0.09,-0.05,1
-37.198,-20.578,249.824,0.067,-0.081,-0.057,1
-37.257,-20.49,250.028,0.061,-0.074,-0.067,1
-37.327,-20.399,250.222,0.054,-0.068,-0.078,1
-37.408,-20.302,250.401,0.049,-0.063,-0.089,1
-37.496,-20.206,250.567,0.046,-0.056,-0.101,1
-37.58,-20.105,250.726,0.045,-0.051,-0.11,1
-37.653,-19.99,250.865,0.044,-0.051,-0.118,1
-37.714,-19.865,250.978,0.041,-0.055,-0.127,1
-37.765,-19.733,251.079,0.038,-0.059,-0.137,1
-37.802,-19.595,251.181,0.037,-0.063,-0.146,1
-37.82,-19.455,251.285,0.036,-0.067,-0.154,1
-37.807,-19.32,251.386,0.035,-0.074,-0.16,1
-37.76,-19.188,251.484,0.034,-0.084,-0.166,1
-37.68,-19.06,251.573,0.034,-0.096,-0.172,1
-37.579,-18.939,251.64,0.033,-0.109,-0.177,1
-37.459,-18.825,251.69,0.032,-0.122,-0.182,1
-37.319,-18.715,251.723,0.03,-0.135,-0.187,1
-37.156,-18.611,251.732,0.028,-0.151,-0.194,1
-36.971,-18.509,251.713,0.027,-0.167,-0.2,1
-36.761,-18.406,251.662,0.027,-0.181,-0.205,1
-36.523,-18.305,251.576,0.029,-0.196,-0.209,1
-36.254,-18.212,251.465,0.028,-0.212,-0.213,1
-35.955,-18.128,251.34,0.023,-0.229,-0.219,1
-35.627,-18.05,251.185,0.017,-0.248,-0.222,1
-35.272,-17.98,250.987,0.013,-0.266,-0.224,1
-34.896,-17.921,250.745,0.008,-0.281,-0.224,1
-34.501,-17.867,250.466,0.003,-0.294,-0.224,1
-34.092,-17.818,250.168,0,-0.306,-0.223,1
-33.664,-17.778,249.864,-0.002,-0.317,-0.224,1
-33.208,-17.738,249.556,-0.002,-0.328,-0.224,1
-32.729,-17.7,249.243,-0.002,-0.34,-0.225,1
-32.24,-17.675,248.905,-0.003,-0.352,-0.224,1
-31.749,-17.67,248.538,-0.006,-0.362,-0.221,1
-31.254,-17.675,248.153,-0.008,-0.37,-0.217,1
-30.747,-17.672,247.742,-0.01,-0.378,-0.213,1
-30.223,-17.655,247.3,-0.012,-0.386,-0.211,1
-29.688,-17.638,246.827,-0.014,-0.392,-0.211,1
-29.148,-17.633,246.333,-0.016,-0.396,-0.209,1
-28.601,-17.636,245.826,-0.019,-0.4,-0.202,1
-28.048,-17.64,245.321,-0.023,-0.405,-0.194,1
-27.491,-17.643,244.839,-0.027,-0.406,-0.187,1
-26.936,-17.646,244.379,-0.031,-0.405,-0.18,1
-26.395,-17.657,243.957,-0.033,-0.404,-0.173,1
-25.878,-17.687,243.593,-0.035,-0.401,-0.164,1
-25.389,-17.733,243.279,-0.038,-0.396,-0.154,1
-24.922,-17.796,242.991,-0.04,-0.388,-0.143,1
-24.475,-17.872,242.724,-0.039,-0.38,-0.129,1
-24.042,-17.955,242.476,-0.037,-0.37,-0.113,1
-23.622,-18.033,242.24,-0.037,-0.362,-0.098,1
-23.212,-18.108,242.026,-0.039,-0.356,-0.085,1
-22.812,-18.194,241.851,-0.043,-0.352,-0.072,1
-22.423,-18.29,241.726,-0.046,-0.348,-0.059,1
-22.043,-18.389,241.64,-0.048,-0.345,-0.048,1
-21.674,-18.487,241.586,-0.049,-0.342,-0.038,1
-21.32,-18.588,241.575,-0.051,-0.337,-0.03,1
-20.986,-18.703,241.619,-0.053,-0.332,-0.022,1
-20.679,-18.841,241.719,-0.054,-0.328,-0.015,1
-20.399,-18.999,241.864,-0.052,-0.323,-0.008,1
-20.152,-19.174,242.038,-0.053,-0.317,0,1
-19.947,-19.367,242.222,-0.052,-0.312,0.006,1
-19.793,-19.586,242.415,-0.049,-0.307,0.012,1
-19.692,-19.822,242.616,-0.046,-0.302,0.018,1
-19.644,-20.066,242.819,-0.042,-0.298,0.027,1
-19.646,-20.316,243.027,-0.04,-0.291,0.039,1
-19.703,-20.577,243.249,-0.036,-0.284,0.052,1
-19.816,-20.851,243.478,-0.032,-0.274,0.065,1
-19.988,-21.141,243.704,-0.03,-0.261,0.078,1
-20.219,-21.444,243.926,-0.03,-0.248,0.091,1
-20.508,-21.751,244.135,-0.028,-0.235,0.106,1
-20.846,-22.056,244.316,-0.026,-0.225,0.123,1
-21.218,-22.356,244.463,-0.022,-0.215,0.142,1
-21.618,-22.649,244.585,-0.021,-0.203,0.16,1
-22.043,-22.943,244.691,-0.02,-0.188,0.179,1
-22.485,-23.248,244.798,-0.016,-0.17,0.199,1
-22.932,-23.553,244.931,-0.011,-0.154,0.216,1
-23.372,-23.845,245.104,-0.004,-0.137,0.229,1
-23.8,-24.128,245.296,0.001,-0.115,0.241,1
-24.211,-24.407,245.476,0.007,-0.09,0.253,1
-24.597,-24.674,245.627,0.01,-0.064,0.265,1
-24.947,-24.922,245.747,0.009,-0.038,0.277,1
-25.249,-25.146,245.832,0.008,-0.017,0.289,1
-25.5,-25.334,245.882,0.01,0.002,0.298,1
-25.689,-25.468,245.909,0.01,0.018,0.305,1
-25.811,-25.55,245.928,0.009,0.032,0.308,1
-25.862,-25.599,245.935,0.006,0.042,0.308,1
-25.843,-25.625,245.906,0.004,0.054,0.306,1
-25.755,-25.626,245.821,0.003,0.067,0.302,1
-25.597,-25.592,245.657,0,0.077,0.297,1
-25.381,-25.526,245.411,-0.005,0.084,0.289,1
-25.124,-25.443,245.11,-0.011,0.088,0.28,1
-24.838,-25.345,244.787,-0.017,0.091,0.272,1
-24.529,-25.233,244.452,-0.022,0.092,0.265,1
-24.207,-25.108,244.106,-0.027,0.093,0.26,1
-23.883,-24.973,243.74,-0.033,0.092,0.256,1
-23.56,-24.839,243.341,-0.039,0.09,0.252,1
-23.242,-24.711,242.908,-0.045,0.086,0.247,1
-22.932,-24.581,242.439,-0.052,0.079,0.244,1
-22.637,-24.454,241.939,-0.059,0.069,0.239,1
-22.364,-24.338,241.425,-0.066,0.06,0.233,1
-22.114,-24.238,240.918,-0.074,0.053,0.226,1
-21.887,-24.148,240.43,-0.084,0.045,0.22,1
-21.685,-24.07,239.961,-0.095,0.036,0.213,1
-21.507,-24.01,239.516,-0.104,0.029,0.207,1
-21.352,-23.962,239.108,-0.111,0.021,0.203,1
-21.21,-23.912,238.734,-0.116,0.013,0.199,1
-21.07,-23.848,238.398,-0.12,0.004,0.195,1
-20.928,-23.774,238.112,-0.128,-0.005,0.19,1
-20.787,-23.703,237.891,-0.136,-0.011,0.185,1
-20.647,-23.639,237.731,-0.14,-0.014,0.179,1
-20.502,-23.567,237.621,-0.141,-0.015,0.172,1
-20.342,-23.474,237.56,-0.143,-0.015,0.166,1
-20.158,-23.365,237.555,-0.148,-0.014,0.16,1
-19.947,-23.251,237.614,-0.154,-0.015,0.154,1
-19.705,-23.138,237.744,-0.16,-0.017,0.146,1
-19.431,-23.026,237.948,-0.164,-0.022,0.139,1
-19.122,-22.917,238.222,-0.163,-0.026,0.131,1
-18.78,-22.81,238.555,-0.16,-0.03,0.122,1
-18.412,-22.698,238.922,-0.155,-0.033,0.112,1
-18.024,-22.571,239.302,-0.15,-0.034,0.102,1
-17.621,-22.424,239.68,-0.147,-0.035,0.091,1
-17.21,-22.258,240.048,-0.145,-0.036,0.079,1
-16.799,-22.082,240.414,-0.141,-0.038,0.067,1
-16.387,-21.907,240.797,-0.137,-0.038,0.057,1
-15.973,-21.735,241.179,-0.131,-0.036,0.048,1
-15.556,-21.569,241.537,-0.125,-0.034,0.039,1
-15.14,-21.416,241.87,-0.118,-0.03,0.028,1
-14.731,-21.273,242.187,-0.11,-0.027,0.018,1
-14.331,-21.137,242.496,-0.099,-0.024,0.008,1
-13.949,-21.011,242.788,-0.089,-0.024,-0.002,1
-13.586,-20.899,243.051,-0.082,-0.028,-0.014,1
-13.25,-20.797,243.265,-0.078,-0.032,-0.025,1
-12.936,-20.694,243.412,-0.072,-0.034,-0.033,1
-12.635,-20.588,243.5,-0.064,-0.033,-0.038,1
-12.342,-20.488,243.538,-0.054,-0.031,-0.041,1
-12.056,-20.403,243.522,-0.044,-0.026,-0.043,1
-11.775,-20.33,243.46,-0.036,-0.023,-0.048,1
-11.493,-20.269,243.362,-0.028,-0.022,-0.055,1
-11.208,-20.232,243.235,-0.02,-0.024,-0.066,1
-10.917,-20.215,243.089,-0.01,-0.031,-0.076,1
-10.619,-20.204,242.932,0,-0.039,-0.085,1
-10.314,-20.199,242.771,0.007,-0.043,-0.093,1
-10.006,-20.196,242.601,0.012,-0.045,-0.1,1
-9.693,-20.184,242.424,0.015,-0.046,-0.107,1
-9.376,-20.163,242.234,0.02,-0.047,-0.112,1
-9.062,-20.142,242.021,0.028,-0.049,-0.113,1
-8.759,-20.117,241.792,0.036,-0.05,-0.115,1
-8.467,-20.095,241.56,0.04,-0.05,-0.12,1
-8.184,-20.079,241.329,0.044,-0.049,-0.125,1
-7.91,-20.07,241.111,0.047,-0.047,-0.128,1
-7.646,-20.066,240.929,0.051,-0.045,-0.129,1
-7.394,-20.072,240.788,0.058,-0.043,-0.132,1
-7.156,-20.087,240.672,0.066,-0.04,-0.137,1
-6.93,-20.109,240.577,0.076,-0.037,-0.141,1
-6.719,-20.143,240.52,0.086,-0.033,-0.142,1
-6.522,-20.191,240.518,0.096,-0.031,-0.142,1
-6.34,-20.249,240.587,0.103,-0.028,-0.142,1
-6.173,-20.309,240.738,0.107,-0.023,-0.142,1
-6.021,-20.366,240.961,0.113,-0.017,-0.143,1
-5.89,-20.42,241.237,0.12,-0.012,-0.144,1
-5.783,-20.471,241.545,0.125,-0.005,-0.142,1
-5.703,-20.515,241.867,0.128,0.004,-0.14,1
-5.647,-20.548,242.202,0.132,0.016,-0.135,1
-5.609,-20.574,242.55,0.137,0.026,-0.129,1
-5.59,-20.601,242.907,0.142,0.037,-0.124,1
-5.588,-20.627,243.274,0.143,0.047,-0.122,1
-5.599,-20.648,243.65,0.14,0.057,-0.122,1
-5.62,-20.663,244.012,0.135,0.067,-0.121,1
-5.655,-20.676,244.335,0.131,0.076,-0.12,1
-5.703,-20.684,244.625,0.127,0.086,-0.118,1
-5.754,-20.684,244.879,0.122,0.094,-0.115,1
-5.798,-20.669,245.108,0.117,0.103,-0.112,1
-5.835,-20.639,245.321,0.112,0.111,-0.109,1
-5.871,-20.602,245.517,0.108,0.12,-0.104,1
-5.91,-20.569,245.682,0.106,0.127,-0.098,1
-5.945,-20.537,245.821,0.101,0.133,-0.092,1
-5.976,-20.494,245.933,0.093,0.138,-0.087,1
-6.007,-20.438,246.003,0.085,0.142,-0.081,1
-6.041,-20.375,246.035,0.078,0.145,-0.076,1
-6.078,-20.305,246.039,0.07,0.15,-0.071,1
-6.117,-20.235,246.019,0.063,0.156,-0.065,1
-6.155,-20.168,245.983,0.053,0.162,-0.059,1
-6.189,-20.1,245.949,0.039,0.166,-0.053,1
-6.218,-20.029,245.911,0.027,0.172,-0.047,1
-6.246,-19.958,245.847,0.016,0.181,-0.043,1
-6.272,-19.89,245.75,0.007,0.193,-0.038,1
-6.291,-19.826,245.624,-0.002,0.206,-0.034,1
-6.304,-19.763,245.461,-0.012,0.22,-0.031,1
-6.314,-19.694,245.254,-0.019,0.233,-0.028,1
-6.319,-19.618,245.011,-0.025,0.244,-0.024,1
-6.324,-19.536,244.741,-0.033,0.253,-0.016,1
-6.337,-19.448,244.456,-0.04,0.261,-0.006,1
-6.36,-19.352,244.168,-0.045,0.266,0.006,1
-6.394,-19.247,243.878,-0.051,0.27,0.017,1
-6.441,-19.139,243.582,-0.058,0.273,0.026,1
-6.502,-19.031,243.292,-0.065,0.274,0.034,1
-6.567,-18.929,243.035,-0.073,0.273,0.041,1
-6.638,-18.825,242.808,-0.081,0.27,0.048,1
-6.718,-18.715,242.599,-0.092,0.266,0.055,1
-6.803,-18.606,242.402,-0.103,0.26,0.062,1
-6.893,-18.502,242.226,-0.109,0.255,0.071,1
-6.99,-18.397,242.084,-0.112,0.25,0.079,1
-7.091,-18.289,241.982,-0.114,0.245,0.088,1
-7.199,-18.181,241.924,-0.117,0.243,0.096,1
-7.313,-18.077,241.921,-0.118,0.241,0.103,1
-7.435,-17.987,241.977,-0.117,0.236,0.112,1
-7.568,-17.915,242.094,-0.115,0.228,0.121,1
-7.713,-17.854,242.282,-0.113,0.219,0.13,1
-7.866,-17.798,242.534,-0.11,0.212,0.135,1
-8.028,-17.75,242.832,-0.105,0.206,0.139,1
-8.197,-17.711,243.174,-0.099,0.2,0.143,1
-8.371,-17.678,243.559,-0.096,0.192,0.146,1
-8.549,-17.647,243.975,-0.094,0.183,0.148,1
-8.733,-17.62,244.418,-0.091,0.175,0.151,1
-8.922,-17.599,244.896,-0.086,0.17,0.152,1
-9.113,-17.587,245.392,-0.08,0.166,0.151,1
-9.311,-17.589,245.878,-0.072,0.163,0.149,1
-9.514,-17.604,246.343,-0.064,0.16,0.147,1
-9.715,-17.618,246.777,-0.055,0.156,0.147,1
-9.917,-17.619,247.158,-0.048,0.152,0.146,1
-10.122,-17.602,247.482,-0.042,0.145,0.143,1
-10.338,-17.567,247.755,-0.037,0.135,0.141,1
-10.563,-17.516,247.984,-0.028,0.126,0.14,1
-10.788,-17.452,248.176,-0.018,0.12,0.134,1
-11.005,-17.376,248.342,-0.01,0.117,0.123,1
-11.208,-17.292,248.468,-0.004,0.115,0.114,1
-11.399,-17.205,248.531,0.002,0.109,0.106,1
-11.579,-17.115,248.531,0.009,0.102,0.098,1
-11.753,-17.023,248.481,0.015,0.094,0.088,1
-11.924,-16.937,248.386,0.021,0.086,0.077,1
-12.091,-16.852,248.257,0.026,0.08,0.067,1
-12.257,-16.755,248.111,0.028,0.076,0.061,1
-12.423,-16.646,247.951,0.027,0.075,0.055,1
-12.589,-16.523,247.773,0.024,0.076,0.046,1
-12.761,-16.376,247.571,0.021,0.079,0.037,1
-12.94,-16.209,247.335,0.021,0.081,0.029,1
-13.121,-16.041,247.059,0.02,0.081,0.023,1
-13.298,-15.873,246.739,0.018,0.08,0.019,1
-13.463,-15.69,246.379,0.014,0.077,0.013,1
-13.608,-15.482,245.991,0.009,0.075,0.008,1
-13.734,-15.245,245.587,0.003,0.075,0.002,1
-13.85,-14.981,245.174,-0.002,0.077,-0.002,1
-13.957,-14.699,244.758,-0.005,0.079,-0.006,1
-14.048,-14.402,244.343,-0.006,0.081,-0.011,1
-14.117,-14.086,243.929,-0.008,0.081,-0.016,1
-14.16,-13.755,243.515,-0.013,0.081,-0.022,1
-14.177,-13.415,243.102,-0.019,0.083,-0.027,1
-14.175,-13.066,242.698,-0.029,0.085,-0.033,1
-14.163,-12.708,242.314,-0.039,0.086,-0.039,1
-14.147,-12.345,241.963,-0.05,0.088,-0.044,1
-14.128,-11.975,241.646,-0.06,0.088,-0.046,1
-14.104,-11.601,241.363,-0.07,0.085,-0.048,1
-14.074,-11.227,241.125,-0.082,0.08,-0.053,1
-14.036,-10.859,240.943,-0.094,0.073,-0.057,1
-13.989,-10.501,240.81,-0.105,0.067,-0.059,1
-13.933,-10.148,240.717,-0.111,0.062,-0.064,1
-13.874,-9.791,240.656,-0.116,0.055,-0.073,1
-13.819,-9.436,240.624,-0.123,0.047,-0.083,1
-13.776,-9.098,240.621,-0.13,0.037,-0.09,1
-13.75,-8.778,240.647,-0.136,0.026,-0.095,1
-13.739,-8.472,240.705,-0.144,0.017,-0.099,1
-13.741,-8.181,240.799,-0.153,0.01,-0.102,1
-13.767,-7.92,240.932,-0.163,0.003,-0.106,1
-13.819,-7.697,241.101,-0.172,-0.002,-0.109,1
-13.887,-7.507,241.297,-0.178,-0.008,-0.111,1
-13.964,-7.335,241.505,-0.181,-0.015,-0.113,1
-14.055,-7.177,241.727,-0.182,-0.022,-0.115,1
-14.16,-7.034,241.956,-0.185,-0.031,-0.117,1
-14.276,-6.902,242.168,-0.189,-0.04,-0.121,1
-14.395,-6.773,242.361,-0.194,-0.048,-0.126,1
-14.516,-6.644,242.55,-0.202,-0.055,-0.133,1
-14.643,-6.516,242.752,-0.208,-0.061,-0.141,1
-14.774,-6.384,242.989,-0.209,-0.068,-0.146,1
-14.908,-6.242,243.272,-0.206,-0.073,-0.15,1
-15.046,-6.088,243.585,-0.2,-0.078,-0.152,1
-15.192,-5.925,243.922,-0.195,-0.083,-0.154,1
-15.345,-5.751,244.293,-0.19,-0.084,-0.155,1
-15.505,-5.561,244.699,-0.183,-0.084,-0.155,1
-15.672,-5.364,245.116,-0.173,-0.081,-0.155,1
-15.85,-5.164,245.528,-0.164,-0.076,-0.154,1
-16.052,-4.958,245.95,-0.158,-0.069,-0.153,1
-16.272,-4.743,246.368,-0.153,-0.06,-0.153,1
-16.495,-4.514,246.763,-0.149,-0.052,-0.155,1
-16.713,-4.275,247.107,-0.143,-0.044,-0.156,1
-16.918,-4.046,247.385,-0.134,-0.036,-0.155,1
-17.114,-3.839,247.602,-0.124,-0.029,-0.154,1
-17.3,-3.642,247.776,-0.113,-0.021,-0.152,1
-17.483,-3.447,247.919,-0.102,-0.016,-0.154,1
-17.675,-3.273,248.053,-0.09,-0.012,-0.156,1
-17.879,-3.136,248.188,-0.077,-0.006,-0.157,1
-18.089,-3.029,248.315,-0.066,0,-0.156,1
-18.3,-2.941,248.419,-0.056,0.009,-0.154,1
-18.504,-2.872,248.482,-0.046,0.016,-0.15,1
-18.695,-2.814,248.488,-0.034,0.02,-0.145,1
-18.871,-2.77,248.434,-0.019,0.02,-0.142,1
-19.039,-2.747,248.331,-0.003,0.019,-0.137,1
-19.212,-2.747,248.202,0.015,0.018,-0.13,1
-19.387,-2.761,248.078,0.033,0.02,-0.122,1
-19.553,-2.772,247.984,0.047,0.02,-0.115,1
-19.699,-2.775,247.921,0.058,0.016,-0.112,1
-19.826,-2.788,247.868,0.07,0.01,-0.11,1
-19.947,-2.835,247.825,0.084,0.004,-0.106,1
-20.066,-2.906,247.799,0.098,0,-0.101,1
-20.178,-2.989,247.79,0.11,-0.006,-0.096,1
-20.284,-3.09,247.8,0.12,-0.013,-0.089,1
-20.39,-3.206,247.844,0.128,-0.02,-0.082,1
-20.503,-3.333,247.926,0.135,-0.027,-0.077,1
-20.627,-3.469,248.04,0.141,-0.029,-0.073,1
-20.767,-3.612,248.188,0.148,-0.029,-0.072,1
-20.92,-3.76,248.371,0.158,-0.027,-0.069,1
-21.077,-3.91,248.577,0.17,-0.023,-0.066,1
-21.227,-4.057,248.802,0.179,-0.017,-0.061,1
-21.363,-4.198,249.046,0.184,-0.01,-0.055,1
-21.488,-4.33,249.309,0.187,-0.006,-0.048,1
-21.609,-4.458,249.596,0.19,-0.002,-0.044,1
-21.734,-4.585,249.917,0.192,0.005,-0.04,1
-21.868,-4.708,250.293,0.188,0.012,-0.035,1
-22.007,-4.822,250.723,0.183,0.02,-0.03,1
-22.14,-4.924,251.19,0.178,0.031,-0.026,1
-22.26,-5.017,251.676,0.171,0.046,-0.022,1
-22.365,-5.098,252.154,0.163,0.062,-0.019,1
-22.46,-5.17,252.591,0.154,0.077,-0.017,1
-22.544,-5.239,252.986,0.146,0.091,-0.016,1
-22.617,-5.301,253.344,0.14,0.103,-0.013,1
-22.68,-5.356,253.664,0.135,0.111,-0.012,1
-22.735,-5.42,253.955,0.128,0.118,-0.011,1
-22.785,-5.506,254.23,0.121,0.126,-0.01,1
-22.834,-5.61,254.484,0.114,0.133,-0.008,1
-22.882,-5.719,254.719,0.107,0.141,-0.005,1
-22.934,-5.824,254.946,0.101,0.149,-0.001,1
-23,-5.925,255.16,0.096,0.158,0.002,1
-23.081,-6.027,255.356,0.089,0.166,0.006,1
-23.177,-6.127,255.537,0.081,0.171,0.013,1
-23.285,-6.219,255.717,0.074,0.176,0.02,1
-23.406,-6.301,255.911,0.066,0.181,0.027,1
-23.535,-6.376,256.131,0.058,0.184,0.034,1
-23.676,-6.443,256.375,0.049,0.186,0.041,1
-23.825,-6.51,256.624,0.044,0.189,0.049,1
-23.979,-6.585,256.862,0.039,0.191,0.056,1
-24.138,-6.656,257.097,0.033,0.191,0.06,1
-24.298,-6.709,257.33,0.027,0.19,0.064,1
-24.449,-6.746,257.573,0.021,0.19,0.069,1
-24.591,-6.776,257.834,0.014,0.189,0.075,1
-24.731,-6.801,258.099,0.006,0.189,0.081,1
-24.862,-6.822,258.359,-0.001,0.188,0.088,1
-24.976,-6.843,258.617,-0.006,0.184,0.094,1
-25.066,-6.862,258.872,-0.01,0.176,0.097,1
-25.127,-6.876,259.118,-0.012,0.167,0.1,1
-25.153,-6.886,259.346,-0.016,0.159,0.102,1
-25.151,-6.89,259.534,-0.021,0.152,0.104,1
-25.135,-6.884,259.672,-0.026,0.144,0.104,1
-25.103,-6.871,259.772,-0.031,0.134,0.104,1
-25.056,-6.859,259.841,-0.035,0.122,0.105,1
-25,-6.84,259.878,-0.039,0.109,0.105,1
-24.944,-6.81,259.874,-0.046,0.097,0.107,1
-24.897,-6.778,259.815,-0.049,0.084,0.108,1
-24.857,-6.753,259.692,-0.047,0.073,0.109,1
-24.823,-6.727,259.506,-0.044,0.063,0.11,1
-24.79,-6.692,259.252,-0.04,0.053,0.113,1
-24.756,-6.637,258.938,-0.038,0.042,0.117,1
-24.728,-6.559,258.574,-0.037,0.028,0.121,1
-24.712,-6.468,258.169,-0.036,0.011,0.122,1
-24.71,-6.372,257.733,-0.036,-0.007,0.122,1
-24.719,-6.269,257.273,-0.035,-0.024,0.12,1
-24.74,-6.154,256.781,-0.031,-0.04,0.119,1
-24.77,-6.032,256.253,-0.026,-0.053,0.118,1
-24.809,-5.906,255.712,-0.021,-0.066,0.115,1
-24.853,-5.773,255.177,-0.018,-0.079,0.11,1
-24.903,-5.632,254.643,-0.015,-0.092,0.104,1
-24.959,-5.482,254.115,-0.013,-0.106,0.102,1
-25.025,-5.33,253.605,-0.011,-0.117,0.101,1
-25.104,-5.179,253.104,-0.01,-0.123,0.099,1
-25.193,-5.026,252.606,-0.008,-0.126,0.095,1
-25.29,-4.866,252.132,-0.003,-0.127,0.092,1
-25.392,-4.695,251.688,0.002,-0.127,0.09,1
-25.506,-4.522,251.282,0.007,-0.126,0.088,1
-25.634,-4.347,250.916,0.01,-0.124,0.085,1
-25.771,-4.161,250.587,0.012,-0.12,0.082,1
-25.916,-3.965,250.282,0.013,-0.117,0.077,1
-26.068,-3.77,250.005,0.017,-0.115,0.073,1
-26.224,-3.584,249.775,0.021,-0.112,0.07,1
-26.384,-3.407,249.594,0.029,-0.108,0.068,1
-26.547,-3.235,249.458,0.038,-0.101,0.065,1
-26.712,-3.071,249.372,0.044,-0.091,0.061,1
-26.889,-2.919,249.325,0.046,-0.079,0.059,1
-27.076,-2.78,249.311,0.046,-0.069,0.058,1
-27.273,-2.653,249.328,0.045,-0.059,0.056,1
-27.484,-2.534,249.358,0.048,-0.051,0.055,1
-27.711,-2.418,249.387,0.054,-0.046,0.055,1
-27.943,-2.304,249.415,0.058,-0.043,0.057,1
-28.174,-2.203,249.457,0.062,-0.041,0.059,1
-28.411,-2.13,249.533,0.065,-0.039,0.06,1
-28.655,-2.085,249.65,0.068,-0.038,0.059,1
-28.891,-2.067,249.815,0.074,-0.037,0.061,1
-29.114,-2.077,250.027,0.085,-0.037,0.063,1
-29.325,-2.107,250.257,0.092,-0.035,0.063,1
-29.523,-2.153,250.471,0.092,-0.034,0.065,1
-29.701,-2.224,250.658,0.088,-0.035,0.07,1
-29.855,-2.325,250.814,0.085,-0.037,0.079,1
-29.978,-2.445,250.946,0.082,-0.042,0.089,1
-30.058,-2.576,251.045,0.076,-0.049,0.096,1
-30.096,-2.714,251.094,0.072,-0.056,0.101,1
-30.096,-2.855,251.099,0.071,-0.064,0.105,1
-30.059,-2.994,251.062,0.068,-0.074,0.11,1
-29.987,-3.134,250.956,0.064,-0.086,0.115,1
-29.872,-3.27,250.767,0.061,-0.099,0.119,1
-29.71,-3.396,250.516,0.059,-0.112,0.122,1
-29.5,-3.515,250.211,0.056,-0.126,0.12,1
-29.249,-3.626,249.845,0.051,-0.142,0.117,1
-28.963,-3.723,249.409,0.045,-0.158,0.116,1
-28.646,-3.816,248.898,0.037,-0.171,0.119,1
-28.302,-3.916,248.315,0.029,-0.184,0.122,1
-27.934,-4.025,247.678,0.023,-0.198,0.123,1
-27.538,-4.136,247.002,0.015,-0.212,0.119,1
-27.115,-4.24,246.283,0.008,-0.224,0.116,1
-26.667,-4.327,245.522,0.002,-0.237,0.112,1
-26.207,-4.402,244.743,-0.003,-0.249,0.107,1
-25.751,-4.464,243.962,-0.012,-0.261,0.102,1
-25.306,-4.487,243.181,-0.022,-0.267,0.098,1
-24.859,-4.435,242.419,-0.031,-0.272,0.095,1
-24.407,-4.315,241.717,-0.041,-0.276,0.093,1
-23.968,-4.177,241.09,-0.051,-0.277,0.089,1
-23.551,-4.064,240.52,-0.059,-0.276,0.086,1
-23.165,-3.981,239.992,-0.064,-0.272,0.082,1
-22.78,-3.883,239.492,-0.069,-0.268,0.078,1
-22.378,-3.734,239.021,-0.077,-0.264,0.071,1
-21.958,-3.538,238.584,-0.088,-0.262,0.062,1
-21.544,-3.329,238.202,-0.1,-0.259,0.053,1
-21.155,-3.136,237.9,-0.106,-0.253,0.047,1
-20.785,-2.95,237.686,-0.111,-0.244,0.041,1
-20.429,-2.751,237.583,-0.118,-0.237,0.034,1
-20.088,-2.537,237.584,-0.125,-0.23,0.026,1
-19.774,-2.325,237.665,-0.127,-0.222,0.019,1
-19.487,-2.126,237.779,-0.124,-0.216,0.009,1
-19.219,-1.94,237.899,-0.119,-0.214,-0.004,1
-18.963,-1.771,238.046,-0.115,-0.215,-0.017,1
-18.726,-1.634,238.243,-0.113,-0.218,-0.028,1
-18.506,-1.524,238.486,-0.112,-0.222,-0.037,1
-18.29,-1.417,238.783,-0.109,-0.226,-0.048,1
-18.057,-1.301,239.148,-0.104,-0.233,-0.059,1
-17.812,-1.185,239.568,-0.099,-0.242,-0.07,1
-17.557,-1.073,240.012,-0.095,-0.253,-0.082,1
-17.288,-0.967,240.465,-0.091,-0.262,-0.096,1
-16.995,-0.866,240.914,-0.086,-0.271,-0.107,1
-16.67,-0.764,241.363,-0.081,-0.278,-0.118,1
-16.301,-0.647,241.806,-0.077,-0.286,-0.129,1
-15.881,-0.519,242.255,-0.07,-0.295,-0.142,1
-15.411,-0.381,242.717,-0.059,-0.302,-0.159,1
-14.895,-0.224,243.187,-0.047,-0.308,-0.177,1
-14.334,-0.044,243.638,-0.035,-0.316,-0.196,1
